FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
NFE2	0.516392377121	0.985633410371	0.818716048908	0.895410384265	0.995259051941	0.996178117492	0.995902848229
NFYA	0.795351519686	0.913547033021	0.534970226555	0.726508857701	0.92842337029	0.933209243326	0.931503768829
NFYB	0.899423995068	0.77987280793	0.478869742461	0.797608574705	0.804921582155	0.816583574475	0.812367908085
NR2F2	0.876712177165	0.967326530421	0.480077300635	0.58557337552	0.978052925477	0.980518711215	0.979708910915
NRF1	0.0716841487793	0.971869722515	0.787576155532	0.823622335303	0.988827426437	0.989344149721	0.989362054104
PU1	0.484821088307	0.905169506732	0.433076764537	0.785331792851	0.927243300997	0.930930699281	0.929289616718
RAD21	0.303927816463	0.972398999514	0.902880385007	0.877518980414	0.993803864647	0.995460759382	0.995019960817
REST	0.892604542152	0.824380825634	0.588531914024	0.844272927129	0.854462390312	0.867526108446	0.86285295386
RFX5	0.933758480067	0.920764680251	0.45978804393	0.763156406889	0.937255110248	0.943856307523	0.941537922594
SIX5	0.860544873258	0.979962789789	0.569255279622	0.799148395012	0.988751370816	0.990556612063	0.989967991602
SMC3	0.312512579714	0.971323737906	0.886121576651	0.870250484185	0.991486577166	0.992866892327	0.992406935331
SP1	0.616626462115	0.987211227926	0.780054099351	0.702368497604	0.994608827132	0.995315110575	0.995108877346
SP2	0.52729910738	0.983993219994	0.749186766154	0.713099400326	0.992947364113	0.993763084205	0.993508544282
SRF	0.798682081359	0.94525430814	0.419143980118	0.751680480256	0.959776451346	0.963601458606	0.962233348872
STAT1	0.88937809234	0.975508723729	0.401770071057	0.636740420893	0.982010842308	0.983529210526	0.98298169574
STAT2	0.815539170494	0.955111312309	0.568916720544	0.82513264591	0.967892163354	0.971219714135	0.970026181245
STAT5A	0.841167575964	0.979571349305	0.482062499377	0.695012964269	0.987348144433	0.988793209672	0.988310439931
TAL1	0.434047420819	0.983366817892	0.469469746534	0.731317645187	0.992952911803	0.9937034836	0.993405982171
THAP1	0.826501314675	0.986194096384	0.374822823992	0.545390904339	0.993075393274	0.994354220076	0.993994419241
TR4	0.784075837973	0.958149529234	0.562306440719	0.843862895616	0.969380633789	0.972557364791	0.971415185112
USF1	0.475686665311	0.932705280619	0.564037797662	0.793204597703	0.951708636769	0.954739778578	0.953384060432
USF2	0.266383809419	0.984903831673	0.673731714916	0.785891345417	0.993249898342	0.993634518365	0.993412087522
YY1	0.921995229724	0.976104403039	0.562478515579	0.864898753134	0.982861755772	0.98477276311	0.984106034263
ZBTB33	0.296810180202	0.915727251869	0.672593546803	0.720271905763	0.938190848363	0.940388228363	0.939218697725
ZBTB7A	0.785072235819	0.956179285005	0.5738767142	0.436758968795	0.970265240723	0.973203070999	0.972170694247
ZNF143	0.880712259021	0.967564620124	0.505414239269	0.706490921614	0.979105332732	0.981762984539	0.980872624387
ZNF263	0.907998758355	0.820196902572	0.477451512907	0.704817153338	0.845512874942	0.855709542643	0.852031997778
