XXXXX	HINTBC	DNase2TF_TC	PIQ_90	Wellington_TC	Neph	Boyle	BinDNase_80	Centipede_90	FLR_90	Centipede_99	Cuellar_90	TC	PWM	FS
HINTBC	XXXXX	3.7967e-16	4.209e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	7.031e-16	3.7967e-16
DNase2TF_TC	3.7967e-16	XXXXX	1.4674e-05	3.9295e-16	3.7967e-16	3.7967e-16	1.6395e-15	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	1.4819e-15	3.7967e-16
PIQ_90	4.209e-16	1.4674e-05	XXXXX	7.4612e-10	6.5418e-10	6.377e-11	1.1333e-09	9.2296e-16	6.1342e-16	8.6235e-16	3.7967e-16	3.7967e-16	1.17e-15	3.7967e-16
Wellington_TC	3.7967e-16	3.9295e-16	7.4612e-10	XXXXX	0.0001177	1.456e-14	8.6506e-13	4.209e-16	3.7967e-16	4.209e-16	3.7967e-16	3.7967e-16	2.3715e-15	3.7967e-16
Neph	3.7967e-16	3.7967e-16	6.5418e-10	0.0001177	XXXXX	0.00021823	6.4091e-07	4.6653e-16	3.7967e-16	4.209e-16	3.7967e-16	3.7967e-16	2.898e-15	3.7967e-16
Boyle	3.7967e-16	3.7967e-16	6.377e-11	1.456e-14	0.00021823	XXXXX	0.45766	4.209e-16	3.7967e-16	4.209e-16	3.7967e-16	3.7967e-16	3.0978e-15	3.7967e-16
BinDNase_80	3.7967e-16	1.6395e-15	1.1333e-09	8.6506e-13	6.4091e-07	0.45766	XXXXX	3.7967e-16	4.0669e-16	3.7967e-16	3.7967e-16	3.7967e-16	4.1785e-15	3.7967e-16
Centipede_90	3.7967e-16	3.7967e-16	9.2296e-16	4.209e-16	4.6653e-16	4.209e-16	3.7967e-16	XXXXX	3.9202e-08	5.556e-16	5.2686e-15	4.0669e-16	2.1485e-14	3.7967e-16
FLR_90	3.7967e-16	3.7967e-16	6.1342e-16	3.7967e-16	3.7967e-16	3.7967e-16	4.0669e-16	3.9202e-08	XXXXX	6.1392e-07	2.4447e-14	1.19e-15	2.5249e-14	3.9295e-16
Centipede_99	3.7967e-16	3.7967e-16	8.6235e-16	4.209e-16	4.209e-16	4.209e-16	3.7967e-16	5.556e-16	6.1392e-07	XXXXX	7.5711e-15	4.508e-16	2.2191e-14	3.7967e-16
Cuellar_90	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	5.2686e-15	2.4447e-14	7.5711e-15	XXXXX	0.33138	8.49e-14	3.7967e-16
TC	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	4.0669e-16	1.19e-15	4.508e-16	0.33138	XXXXX	5.8248e-13	4.209e-16
PWM	7.031e-16	1.4819e-15	1.17e-15	2.3715e-15	2.898e-15	3.0978e-15	4.1785e-15	2.1485e-14	2.5249e-14	2.2191e-14	8.49e-14	5.8248e-13	XXXXX	0.00010995
FS	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.9295e-16	3.7967e-16	3.7967e-16	4.209e-16	0.00010995	XXXXX
