	DU_H1hesc	DU_HeLaS3	DU_HepG2	DU_Huvec	DU_K562	DU_Mcf7	UW_HepG2	UW_Huvec	UW_IMR90	UW_K562	UW_LnCaP	UW_m3134
DU_H1hesc	1	0.931619	0.93348	0.891246	0.79714	0.679418	0.137981	0.321958	0.09061	0.065999	0.843302	0.373632
DU_HeLaS3	0.931619	1	0.988373	0.966259	0.769826	0.798886	0.118135	0.430099	0.19345	0.061834	0.844811	0.475771
DU_HepG2	0.93348	0.988373	1	0.962738	0.830993	0.82542	0.059477	0.445955	0.188804	0.000542	0.890556	0.492143
DU_Huvec	0.891246	0.966259	0.962738	1	0.700934	0.809308	0.003514	0.526683	0.255293	-0.042684	0.791022	0.573262
DU_K562	0.79714	0.769826	0.830993	0.700934	1	0.775519	0.112364	0.313327	0.05437	0.040032	0.967909	0.38034
DU_Mcf7	0.679418	0.798886	0.82542	0.809308	0.775519	1	0.01796	0.505187	0.232115	-0.014416	0.834629	0.589395
UW_HepG2	0.137981	0.118135	0.059477	0.003514	0.112364	0.01796	1	-0.146409	-0.139938	0.955023	0.111621	-0.102104
UW_Huvec	0.321958	0.430099	0.445955	0.526683	0.313327	0.505187	-0.146409	1	0.499053	-0.159104	0.384172	0.955183
UW_IMR90	0.09061	0.19345	0.188804	0.255293	0.05437	0.232115	-0.139938	0.499053	1	-0.13637	0.12247	0.457317
UW_K562	0.065999	0.061834	0.000542	-0.042684	0.040032	-0.014416	0.955023	-0.159104	-0.13637	1	0.03881	-0.123701
UW_LnCaP	0.843302	0.844811	0.890556	0.791022	0.967909	0.834629	0.111621	0.384172	0.12247	0.03881	1	0.45438
UW_m3134	0.373632	0.475771	0.492143	0.573262	0.38034	0.589395	-0.102104	0.955183	0.457317	-0.123701	0.45438	1
