0.0	1.1	1.2	2.1	2.2	2.3	3.1	3.3	3.5	4.2	5.1	6.2
0.909798797363	0.649725362039	0.661850603447	0.642277555081	0.644668830949	0.863332448581	0.907561118723	0.862119961068	0.798793026846	0.842439961901	0.825838213001	0.696874540239
0.913842927055	0.74809533348	0.692395010998	0.905913435985	0.621908608327	0.866232575997	0.883295217906	0.810693421736	0.901224293423	0.852609376129	0.775489171496	0.718467561829
NA	0.82833688056	0.779989654052	0.620961008487	0.739711888898	0.733854395348	0.821355856838	0.736037932534	0.777556889498	NA	0.753094520438	0.84252714981
NA	0.822151493909	0.745687028686	NA	NA	0.856367065308	NA	0.755168185557	0.801803463775	NA	NA	NA
NA	0.708649041182	0.810191171709	NA	NA	0.896109306084	NA	NA	0.805830000668	NA	NA	NA
NA	0.760955077913	0.857039371509	NA	NA	0.863902908471	NA	NA	0.75593414742	NA	NA	NA
NA	0.714784464833	0.813252036594	NA	NA	0.845846291588	NA	NA	0.806182094486	NA	NA	NA
NA	0.699915369496	0.864119719669	NA	NA	0.862246247012	NA	NA	NA	NA	NA	NA
NA	0.706174970716	0.717287031426	NA	NA	0.788685873361	NA	NA	NA	NA	NA	NA
NA	0.694086121196	0.606687934485	NA	NA	0.840451671956	NA	NA	NA	NA	NA	NA
NA	0.719098553119	0.653630682844	NA	NA	0.800180242911	NA	NA	NA	NA	NA	NA
NA	0.751251706281	0.538748331218	NA	NA	0.850032299971	NA	NA	NA	NA	NA	NA
NA	0.721193151469	NA	NA	NA	0.753952367124	NA	NA	NA	NA	NA	NA
NA	0.907069704676	NA	NA	NA	0.851531414963	NA	NA	NA	NA	NA	NA
NA	0.772974533018	NA	NA	NA	0.861615891515	NA	NA	NA	NA	NA	NA
NA	0.673616965825	NA	NA	NA	0.904249539536	NA	NA	NA	NA	NA	NA
NA	0.971277907361	NA	NA	NA	0.877687331579	NA	NA	NA	NA	NA	NA
NA	0.786861431794	NA	NA	NA	0.90515934277	NA	NA	NA	NA	NA	NA
NA	0.765568871463	NA	NA	NA	0.854652077536	NA	NA	NA	NA	NA	NA
NA	0.914776786712	NA	NA	NA	0.85824615999	NA	NA	NA	NA	NA	NA
NA	0.696851448761	NA	NA	NA	0.894822272622	NA	NA	NA	NA	NA	NA
